Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-256-70,K-Means,0.597001,2573237785,1,0.693147181,1,1
g2-256-70,Bisecting K-Means (largest split),0.641996,2573237785,1,0.693147181,1,1
g2-256-70,Bisecting K-Means (worst split),0.801999,2573237785,1,0.693147181,1,1
g2-256-80,K-Means,0.652742,3354705966,1,0.693147181,1,1
g2-256-80,Bisecting K-Means (largest split),0.660999,3354705966,1,0.693147181,1,1
g2-256-80,Bisecting K-Means (worst split),0.850006,3354705966,1,0.693147181,1,1
g2-256-90,K-Means,0.99201,4231938589,1,0.693147181,1,1
g2-256-90,Bisecting K-Means (largest split),0.725004,4231938589,1,0.693147181,1,1
g2-256-90,Bisecting K-Means (worst split),0.812998,4231938589,1,0.693147181,1,1
g2-256-100,K-Means,0.8,5237912262,1,0.693147181,1,1
g2-256-100,Bisecting K-Means (largest split),0.693998,5237912262,1,0.693147181,1,1
g2-256-100,Bisecting K-Means (worst split),0.741,5237912262,1,0.693147181,1,1
g2-512-10,K-Means,1.191006,104847542.6,1,0.693147181,1,1
g2-512-10,Bisecting K-Means (largest split),2.107996,104847542.6,1,0.693147181,1,1
g2-512-10,Bisecting K-Means (worst split),1.47904,104847542.6,1,0.693147181,1,1
g2-512-20,K-Means,1.221907,419992211.2,1,0.693147181,1,1
g2-512-20,Bisecting K-Means (largest split),2.071078,419992211.2,1,0.693147181,1,1
g2-512-20,Bisecting K-Means (worst split),1.215001,419992211.2,1,0.693147181,1,1
g2-512-30,K-Means,1.15,942130600.2,1,0.693147181,1,1
g2-512-30,Bisecting K-Means (largest split),1.159993,942130600.2,1,0.693147181,1,1
g2-512-30,Bisecting K-Means (worst split),1.218999,942130600.2,1,0.693147181,1,1
g2-512-40,K-Means,1.162995,1676190739,1,0.693147181,1,1
g2-512-40,Bisecting K-Means (largest split),1.261998,1676190739,1,0.693147181,1,1
g2-512-40,Bisecting K-Means (worst split),1.234999,1676190739,1,0.693147181,1,1
g2-512-50,K-Means,1.139003,2618536533,1,0.693147181,1,1
g2-512-50,Bisecting K-Means (largest split),1.267994,2618536533,1,0.693147181,1,1
g2-512-50,Bisecting K-Means (worst split),1.270995,2618536533,1,0.693147181,1,1
g2-512-60,K-Means,1.725997,3761336778,1,0.693147181,1,1
g2-512-60,Bisecting K-Means (largest split),1.290997,3761336778,1,0.693147181,1,1
g2-512-60,Bisecting K-Means (worst split),1.488992,3761336778,1,0.693147181,1,1
g2-512-70,K-Means,2.065,5143557201,1,0.693147181,1,1
g2-512-70,Bisecting K-Means (largest split),1.494998,5143557201,1,0.693147181,1,1
g2-512-70,Bisecting K-Means (worst split),1.321993,5143557201,1,0.693147181,1,1
g2-512-80,K-Means,1.229007,6703684936,1,0.693147181,1,1
g2-512-80,Bisecting K-Means (largest split),1.684001,6703684936,1,0.693147181,1,1
g2-512-80,Bisecting K-Means (worst split),1.861996,6703684936,1,0.693147181,1,1
g2-512-90,K-Means,1.302003,8483285848,1,0.693147181,1,1
g2-512-90,Bisecting K-Means (largest split),1.950483,8483285848,1,0.693147181,1,1
